Awards,Host,Nickname,Year,Title,Team,Students,Slides,Write_ups,Video,Codes
Best Statistical Analysis,Southern Methodist University,SMU,2022,Datafest 2022,The GG-Plot 5,"Adiat Arabi, Christopher Chan, Devan Bailey, Enrique Cardes, Muhammad Zubair",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_SMU_Other_1.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,"Summit Consulting, DC",NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_UCB_NA.pdf,NA,NA,NA
NA,University of California Berkeley,UCB,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UCB_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_UCLA_NA.pdf,NA,NA,NA
NA,University of California Los Angeles,UCLA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UCLA_NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,University of Mannheim,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,University of Massachusets,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_Mizzou.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_Mizzou.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_Mizzou.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_Mizzou.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_Mizzou.pdf,NA,NA,NA
NA,University of Missouri,Mizzou,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_Mizzou.pdf,NA,NA,NA
Best Insight,University of Missouri,Mizzou,2017,HOW CUSTOMERS' APPROACH ON BOOKING THROUGH EXPEDIA,NA,"Wanyu Bian, Haoyang Li, Wenbin Zhou, Xiwen Yang",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Mizzou_BestInsight.pdf,NA,NA,NA
Best Visualization,University of Missouri,Mizzou,2017,DataFest 2017,Victorious Secret,"Roger Netherton, Rene Bosch, Zach Tallevast",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Mizzou_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,University of Missouri,Mizzou,2017,How Long Do Families and Nonfamilies Stay in Popular Vacation Spots Using Expedia Data?,The Nonparametrics,"Thomas Baker, Rosa Dwyer, Audrey Hunt, Meaghan Pearson",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Mizzou_BestUseOfExternalData.pdf,NA,NA,NA
Best Insight,University of Missouri,Mizzou,2018,NA,Sig-Moidal,"Abdulah Sibalo, Matt Yount, Joel Hereth",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_Mizzou_BestInsight.pdf,NA,NA,NA
Best Use Of External Data,University of Missouri,Mizzou,2018,"A Good Location, Indeed",The Number Crunchers,"Giulietta Brunetti, Peter Smyrniotis, Peyton Mounce, Quentin James, Sean Odrowski",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_Mizzou_BestUseOfExternalData.pdf,NA,NA,NA
Best Visualization,University of Missouri,Mizzou,2018,NA,Truman Team 1,"bin Karki, Caleb Jones, Mengqing Zhang, Rudy rtker",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_Mizzou_BestVisualization.pdf,NA,NA,NA
Best Insight,University of Missouri,Mizzou,2019,"""Figure""-ing Fatigue",Best Looking Undergraduate Estimators,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_Mizzou_BestInsight.pdf,NA,NA,NA
Best Use Of External Data,University of Missouri,Mizzou,2019,Fatigue and Rugby,NA,"Amelia Coyne, Daniel Gernder, Kai Murphy, Jason Odom",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/201_Mizzou_BestUseOfExternalData.pdf,NA,NA,NA
Best Visualization,University of Missouri,Mizzou,2019,Predicting Win/Loss in Rugby,NA,"Troy Brocaw, Wyatt Gregory, Nick Wahl",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_Mizzou_BestVisualization.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_UNM_NA.pdf,NA,NA,NA
Best Insight,University of New Mexico,UNM,2017,DataFest 2017,Vizards,"Alex Fedorov, Eswar Damaraju, Rogers F Silva",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UNM_BestInsight.pdf,NA,NA,NA
Best Visualization,University of New Mexico,UNM,2017,Who Books Most?,The Tchebby Tchasers,"Alex, Elizabeth Benedict",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UNM_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,University of New Mexico,UNM,2017,Hierarchical Clustering and Random Forests to Identify Hotel Rank,The Most Squares Problem,"Kyle Henke, Manish Bhattaral, Kellin Rumsey, Zach Stuart",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UNM_BestUseOfExternalData.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2018,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2019,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2020,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2021,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_UNM_NA.pdf,NA,NA,NA
NA,University of New Mexico,UNM,2022,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_UNM_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2018,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2019,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_UToronto_NA.pdf,NA,NA,NA
NA,University of Toronto,UToronto,2020,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_UToronto_NA.pdf,NA,NA,NA
Best Insight,University of Toronto,UToronto,2021,Statistical Alysis and Presentation on Drug Misuses,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2021_UToronto_BestInsight.pdf,NA,NA,NA
Best Visualization,University of Toronto,UToronto,2021,Can Money Buy Happiness?,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2021_UToronto_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,University of Toronto,UToronto,2021,An Alysis of Demographic Patterns and Frequent Combitions of Drug Misuse in Cada,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2021_UToronto_BestUseOfExternalData.pdf,NA,NA,NA
Best Insight,University of Toronto,UToronto,2022,Elm City Stories Alysis,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2022_UToronto_BestInsight.pdf,NA,NA,NA
Best Visualization,University of Toronto,UToronto,2022,NA,PLAY2PREVENT Game Data Alysis,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2022_UToronto_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,University of Toronto,UToronto,2022,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/2022_UToronto_BestUseOfExternalData.pdf,NA,NA,NA
NA,University of Virginia,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,University of Virginia,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
Best Visualization,Vassar College,NA,2019,NA,Linest,"Janoski, Sooyeon Baek, Elle McKenzie, Jaein Kim",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Use of External Data,Vassar College,NA,2019,NA,Akatsuki,"Kai Matheson, Jordan Buhmann, Charles Hooghkirk",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Analysis,Vassar College,NA,2019,NA,456,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Overall Analysis,Vassar College,NA,2022,NA,Data Farmers,"Daniel, Kishan, Huaihan, Jocelyn, Orcun",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Visualization,Vassar College,NA,2022,NA,Taconic Parkway,"Dazheng, Yixiao, Shunji",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Use Of External Data,Vassar College,NA,2022,NA,Loud ‘N Cloud,"Augusto, Veronica, Jonny, Jack, Mason",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Virginia Tech,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,https://github.com/jiecai1997/covis19
NA,Wellesley College,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Wellesley College,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Wesleyan University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
