Awards,Host,Nickname,Year,Title,Team,Students,Slides,Write_ups,Video,Codes
NA,Brown University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Brown University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Brown University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
Best Insight,"California State University, East Bay",EKU,2022,NA,NA,NA,NA,NA,NA,NA
NA,Case Western Reserve University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Case Western Reserve University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
Best Insight,Case Western Reserve University,CWRU,2017,"Oh, the places you’ll go",Just Here For The Food,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseIns2017.pdf,NA,NA,NA
Best Visualization,Case Western Reserve University,CWRU,2017,Expedia “Adventure” app,BME Buddies,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseVis2017.pptx,NA,NA,NA
Best Use Of External Data,Case Western Reserve University,CWRU,2017,No place like home?,Data Wranglers,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseEx2017.pdf,NA,NA,NA
Best Insight,Case Western Reserve University,CWRU,2018,Cleveland's Occupational Sister City,NA,"Wyatt SaintClair, Peter Fedrizzi",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseIns2018.pdf,NA,NA,NA
Best Visualization,Case Western Reserve University,CWRU,2018,Economy’s Effects on Job Markets,Data Beast,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseVis2018.pptx,NA,NA,NA
Best Use Of External Data,Case Western Reserve University,CWRU,2018,A Career Guidance for Active Job Seekers,ACJAT,"Hanke Gu, Shiyi Qin, Jiwei Yao, Yiyang Sheng",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseEx2018.pptx,NA,NA,NA
Best Insight,Case Western Reserve University,CWRU,2019,How Player Psychology and Workout Training Affects Tournament Performance,"Life is Soup, I am Fork",NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseIns2019.pdf,NA,NA,NA
Best Visualization,Case Western Reserve University,CWRU,2019,A Closer Look at the Canadian National Women’s Rugby 7s Team,Big Data Energy,"Kareem Agag, Shreyas Kamath and Aayush Parikh",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseVis2019.pptx,NA,NA,NA
Best Use Of External Data,Case Western Reserve University,CWRU,2019,Training Optimization & Win Maximization,The Surprisingly Average Five,"Xingyuan Gao, Xin Hu, Xiguang Liu, Nori Moy, Han Xu",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/blob/main/data/past_winners/CaseEx2019.pdf,NA,NA,NA
NA,Chapman University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Chapman University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
NA,Cleveland State University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_Columbia_NA.pdf,NA,NA,NA
NA,Columbia University,Columbia,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Columbia_NA.pdf,NA,NA,NA
